,acwi_monthly_return,usd_pln,edo_reference_monthly_return,cpi_prev_year_100,avg_gross_wage_pln
2015-04,0.029506020235315678,3.5987,0.002870898719076642,99.1,3899.78
2015-05,-0.0005274535235626487,3.7671,0.002870898719076642,99.1,3899.78
2015-06,-0.023099083822855082,3.7645,0.002870898719076642,99.1,3899.78
2015-07,0.009048205224225336,3.7929,0.002870898719076642,99.1,3899.78
2015-08,-0.06814571487678445,3.778,0.002870898719076642,99.1,3899.78
2015-09,-0.035785547735366796,3.7754,0.002870898719076642,99.1,3899.78
2015-10,0.07874988139027339,3.8748,0.002870898719076642,99.1,3899.78
2015-11,-0.007812995184142357,4.0304,0.002870898719076642,99.1,3899.78
2015-12,-0.01761336895118948,3.9011,0.002870898719076642,99.1,3899.78
2016-01,-0.06007529982575144,4.0723,0.002870898719076642,99.4,4047.21
2016-02,-0.006322599410097829,3.9935,0.002870898719076642,99.4,4047.21
2016-03,0.07479805335512069,3.759,0.002870898719076642,99.4,4047.21
2016-04,0.015351341061003332,3.8738,0.002870898719076642,99.4,4047.21
2016-05,0.002107996062643558,3.9369,0.002870898719076642,99.4,4047.21
2016-06,-0.005527209227087382,3.9803,0.002870898719076642,99.4,4047.21
2016-07,0.04339731353696763,3.9364,0.002870898719076642,99.4,4047.21
2016-08,0.003850444961175814,3.9082,0.002870898719076642,99.4,4047.21
2016-09,0.006562436072068634,3.8558,0.002870898719076642,99.4,4047.21
2016-10,-0.016733482455433935,3.9488,0.002870898719076642,99.4,4047.21
2016-11,0.00809006833517767,4.1721,0.002870898719076642,99.4,4047.21
2016-12,0.021998822295373754,4.1793,0.002870898719076642,99.4,4047.21
2017-01,0.027557412805811143,4.0446,0.002870898719076642,102.0,4271.51
2017-02,0.02849816186974996,4.077,0.002870898719076642,102.0,4271.51
2017-03,0.012900470181335777,3.9455,0.002870898719076642,102.0,4271.51
2017-04,0.016046771275799454,3.8696,0.002870898719076642,102.0,4271.51
2017-05,0.022966812842969864,3.7354,0.002870898719076642,102.0,4271.51
2017-06,0.0049619088561223545,3.7062,0.002870898719076642,102.0,4271.51
2017-07,0.02831051527172712,3.6264,0.002870898719076642,102.0,4271.51
2017-08,0.004320585071692307,3.5822,0.002870898719076642,102.0,4271.51
2017-09,0.019693213839276247,3.6519,0.002870898719076642,102.0,4271.51
2017-10,0.02099587562462979,3.6529,0.002870898719076642,102.0,4271.51
2017-11,0.01981521805490538,3.5543,0.002870898719076642,102.0,4271.51
2017-12,0.016458901635713064,3.4813,0.002870898719076642,102.0,4271.51
2018-01,0.05662429447852757,3.3318,0.0025473393892132545,101.6,4585.03
2018-02,-0.04161046267497559,3.4188,0.0025473393892132545,101.6,4585.03
2018-03,-0.02080754523116002,3.4139,0.0025473393892132545,101.6,4585.03
2018-04,0.010114049094269495,3.4868,0.0025473393892132545,101.6,4585.03
2018-05,0.002110945162466349,3.72,0.0025473393892132545,101.6,4585.03
2018-06,-0.005016869590729112,3.744,0.0025473393892132545,101.6,4585.03
2018-07,0.030482003499046728,3.6481,0.0025473393892132545,101.6,4585.03
2018-08,0.008304774840166118,3.6808,0.0025473393892132545,101.6,4585.03
2018-09,0.004761904761904745,3.6754,0.0025473393892132545,101.6,4585.03
2018-10,-0.07471939625711044,3.8203,0.002870898719076642,101.6,4585.03
2018-11,0.015099576825202021,3.7731,0.002870898719076642,101.6,4585.03
2018-12,-0.07002963968289466,3.7597,0.002870898719076642,101.6,4585.03
2019-01,0.07926737257810035,3.7271,0.0031128168457330574,102.3,4918.17
2019-02,0.027200904399861336,3.7853,0.0031128168457330574,102.3,4918.17
2019-03,0.013198011985642077,3.8365,0.0031128168457330574,102.3,4918.17
2019-04,0.03429484934351379,3.8291,0.0031128168457330574,102.3,4918.17
2019-05,-0.05848615660941514,3.8498,0.0031128168457330574,102.3,4918.17
2019-06,0.06594648604013642,3.7336,0.0031128168457330574,102.3,4918.17
2019-07,0.0032742846630915423,3.8504,0.0031128168457330574,102.3,4918.17
2019-08,-0.023265349371835553,3.9717,0.002870898719076642,102.3,4918.17
